Source.Name,City,District,Sub-District,PM2.5,Date
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,60.28582698,15/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.24442321,16/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.03055542,17/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.44292733,18/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.62533515,19/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.74881826,20/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.55231996,21/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.52994665,22/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.25775463,23/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.36658981,24/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.32463488,25/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,11.7750968,26/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.12173741,27/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.11956404,28/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.7898974,29/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.21637939,30/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,25.30747575,31/5/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,14.09855733,1/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,12.94573289,2/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.11075,3/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.8439809,4/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,24.04867559,5/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.73886667,6/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,25.07168054,7/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,30.5464327,8/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.0944266,9/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.57313188,10/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.31460703,11/6/2024
PM25_Tambon_1m_2024-06-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,8.327,12/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.11851776,12/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,29.44907924,13/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,26.65047411,14/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,32.88542467,15/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,22.74362981,16/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.97984704,17/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,30.74457666,18/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,31.16893348,19/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.24088234,20/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.84008301,21/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.44410135,22/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,20.20012621,23/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.50944047,24/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,17.70412016,25/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,28.14284962,26/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,34.82343518,27/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,25.25091711,28/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,21.94593373,29/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.03026255,30/6/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,13.58842503,1/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,18.50064995,2/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,16.58862788,3/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,20.61568453,4/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,19.89245679,5/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,23.82224705,6/7/2024
PM25_Tambon_1m_2024-07-12.csv,กรุงเทพมหานคร,คลองเตย,คลองเตย,15.20691671,7/7/2024
